"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"SETX",0.00607567991805675,-0.0231462961899915,0.233,0.216,1,0.00883303074158799
"WDFY1",0.00610916897029221,0.0490804088206583,0.271,0.19,1,0.00887477400062778
"MBP",0.00611405052857623,0.0266139832743191,0.269,0.194,1,0.00887492647038643
"GLUL",0.00617877417917654,0.0919100944063986,0.831,0.73,1,0.00896187542928182
"C5orf66-AS1",0.00628635818530091,0.0524165578459801,0.341,0.248,1,0.00911080616871224
"CLU",0.00632768630163465,-0.0396664760617752,0.357,0.3,1,0.00916355506503287
"ZYX",0.00672842828691912,0.000667916444513916,0.332,0.289,1,0.00973630822203717
"SFN",0.00679530767395842,0.0496450716887322,0.966,0.927,1,0.00982543319705427
"SLC18B1",0.00690566776002499,0.0998039759825239,0.318,0.208,1,0.00997724004519941
"RPS6KB2",0.00691757808009633,-0.0177188523629018,0.411,0.394,1,0.00998668226326262
"GPX1",0.00696403241695679,-0.0656172146129559,0.894,0.872,1,0.0100459411729082
"PDLIM7",0.00703087168465404,0.0455167839752778,0.289,0.208,1,0.0101344915361421
"ABLIM1",0.00705437963168934,0.0785638468773434,0.311,0.191,1,0.0101604940741696
"MYO1B",0.00707924667116405,0.0300936037776183,0.279,0.208,1,0.0101884123276706
"SREBF1",0.00723192255506527,-0.0525744698325529,0.332,0.308,1,0.0103961119632071
"NDFIP2",0.00723475391196274,0.0382467791403517,0.426,0.322,1,0.0103961119632071
"SVIP",0.00728010659178832,-0.0655136232200718,0.343,0.357,1,0.0104531978729078
"CYB5D2",0.00739375691899447,0.0321094033214895,0.263,0.19,1,0.0106081856026963
"HLA-DRB1",0.00740165462502679,-0.302810946822843,0.357,0.418,1,0.0106113227571758
"GSK3A",0.00748351606815813,-0.0554701667240785,0.229,0.241,1,0.0107204108362666
"FGFBP1",0.00749686010973117,0.105372230819676,0.287,0.174,1,0.010731252761079
"TSPAN14",0.00767924021193159,-0.0286730338642278,0.446,0.414,1,0.0109838555148336
"VRK3",0.00777032820709566,-0.0302930842113937,0.231,0.224,1,0.0111055921606029
"NPB",0.00804033212972128,-0.309249073204775,0.337,0.406,1,0.0114826572613545
"HBS1L",0.00821269433893502,-0.0652217534810208,0.255,0.266,1,0.0117198049782959
"CERS4",0.00852912680547149,0.0700022752335383,0.3,0.194,1,0.012162024255231
"TMC6",0.00868443163805253,-0.0360356173522312,0.313,0.299,1,0.0123739831161822
"ADD3",0.00869540633024577,0.112160581132905,0.472,0.326,1,0.0123801264073537
"PGAM1",0.00882220215768112,0.0166015551896128,0.755,0.701,1,0.0125510349226428
"RNF19A",0.00887120471291127,-0.152130451647053,0.501,0.526,1,0.0126110928512541
"GABARAPL1",0.00898902907006536,0.00476963571088634,0.248,0.192,1,0.0127688195811785
"ANKRD22",0.0092449192383772,-0.0573391241844597,0.297,0.307,1,0.0131222765048929
"S100A6",0.00953458429508044,0.0646539898368459,0.996,0.971,1,0.0135230974200454
"ING2",0.00958492223226712,0.00304838327868789,0.401,0.357,1,0.0135841231941665
"LSM1",0.00974177420712504,0.0319263673845858,0.533,0.454,1,0.0137958967049073
"TRAM1",0.00978534620654248,0.0298965996666178,0.506,0.423,1,0.0138470474118476
"SAMD4B",0.00985258459620156,0.0287654685428402,0.374,0.307,1,0.0139315846116762
"FKBP11",0.00988776503136714,-0.0732718987569276,0.239,0.261,1,0.0139706976640914
"ZMYM2",0.00995586000623983,-0.0781459150889338,0.256,0.28,1,0.0140562218021228
"SPARC",0.0100768704770569,-0.0964846772116926,0.279,0.303,1,0.0142162682964099
"SDCBP",0.0101106858760281,-0.0248007475653643,0.414,0.388,1,0.0142531520164342
"SAP30BP",0.0102320735732668,-0.145654438874861,0.39,0.438,1,0.0144133379068458
"CLTB",0.0102748457845822,-0.0983417616202066,0.659,0.674,1,0.0144626238392074
"UBE2R2",0.0103603697881364,-0.0456252430588933,0.327,0.324,1,0.0145719659851305
"TRIM29",0.01040215732864,0.0996669921534282,0.639,0.508,1,0.0146196734618858
"LSR",0.0105021235289529,-0.104240550187987,0.649,0.668,1,0.0147490139960654
