"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"MT1E",0.000666034314099176,0.475049654058371,0.913,0.655,1,0.0955703001134962
"PAK1",0.000685959187485276,1.17094993911285,0.391,0.103,1,0.0955703001134962
"APBB1",0.000696385682005991,1.22007054435982,0.37,0.069,1,0.0955703001134962
"HDAC5",0.000699727989524353,0.966194187860158,0.587,0.207,1,0.0955703001134962
"MVB12A",0.000701885261638414,0.906024302826801,0.62,0.276,1,0.0955703001134962
"VCL",0.000704936840848288,0.58975611451539,0.87,0.586,1,0.0955703001134962
"RP11-466H18.1",0.000726083461784397,-0.165814069484444,0.957,1,1,0.0955703001134962
"SLC35F5",0.000747892790859553,0.836071502330369,0.663,0.31,1,0.0955703001134962
"PRR15L",0.000761204448851242,-1.17857174946939,0.033,0.241,1,0.0955703001134962
"GSDMD",0.000764172039208096,1.06694982077308,0.522,0.241,1,0.0955703001134962
"RABL6",0.000767566229298459,0.720857244718216,0.207,0,1,0.0955703001134962
"FBLN1",0.000768640085027674,0.371374602957708,0.978,0.759,1,0.0955703001134962
"KCNIP2",0.000774734846386063,1.02985393006173,0.207,0,1,0.0955703001134962
"LSM5",0.000778810887477814,0.929781020223894,0.576,0.241,1,0.0955703001134962
"AK4P1",0.000780661762872241,1.02608378728042,0.293,0.034,1,0.0955703001134962
"PLAGL2",0.000783079938271809,1.07589276858804,0.25,0.034,1,0.0955703001134962
"SDC2",0.00080504185892291,0.680562642461846,0.761,0.483,1,0.0968267012637859
"PAX6",0.000871735141459919,0.897651093468664,0.228,0.034,1,0.103350427699655
"SMC5",0.000891638397229727,0.683080360382958,0.761,0.483,1,0.103676633639778
"GMNN",0.000899471939036511,1.25028212777166,0.391,0.103,1,0.103676633639778
"MRPL20",0.000930267219800326,0.868971316627298,0.641,0.31,1,0.104650877971059
"RNF40",0.000939844401302899,0.934721453171986,0.533,0.207,1,0.104650877971059
"RSRC1",0.000947709294007685,0.791724055644973,0.707,0.483,1,0.104650877971059
"TMPO",0.000969962598794059,0.825529961049647,0.652,0.31,1,0.104650877971059
"ZFP28",0.000979058744002006,0.877864199596486,0.522,0.276,1,0.104650877971059
"TPBG",0.000983584586304686,1.09579633160108,0.391,0.069,1,0.104650877971059
"LMO1",0.00100073984051055,1.16963409186437,0.446,0.138,1,0.105128353625279
"SNAPC2",0.00106176827585379,1.23618728708717,0.348,0.069,1,0.109696986195613
"ATP11B",0.00107930458086537,0.992449748341665,0.38,0.138,1,0.109696986195613
"ADD2",0.00108388394602245,0.870146241147446,0.196,0,1,0.109696986195613
"ZNF696",0.00110794910659507,0.710546531385434,0.196,0,1,0.109954214853015
"SEPT8",0.00111292373149214,1.07689545592011,0.424,0.103,1,0.109954214853015
"TBCB",0.00113338818056724,0.49674194371365,0.902,0.621,1,0.110658688359148
"CSNK1A1",0.00117139666310758,0.418604816129272,0.913,0.759,1,0.111984458300539
"ATXN10",0.00118744876679509,0.542650006867473,0.859,0.621,1,0.111984458300539
"IK",0.0011888859465,0.778802277255877,0.717,0.379,1,0.111984458300539
"IGSF9",0.00120094189525822,0.805567474028996,0.696,0.345,1,0.111984458300539
"KRCC1",0.00121678289042121,1.00489532341262,0.554,0.172,1,0.112200902306729
"RP11-651P23.4",0.00124101978501157,1.00010128779735,0.489,0.138,1,0.113178276877044
"LGR4",0.00125635879932145,1.04631397228345,0.402,0.138,1,0.113331757343138
"TUBA1A",0.00128361525621641,0.235071298535872,1,0.966,1,0.11354254045678
"TXN",0.00128605841703065,0.316642890325236,0.957,0.793,1,0.11354254045678
"TPP1",0.00133974213247773,0.713603565798886,0.772,0.345,1,0.115706334848231
"SNRNP25",0.00136010446974022,1.27122346352646,0.359,0.069,1,0.115706334848231
"H3F3AP1",0.00142513734507926,0.782549984145463,0.37,0.103,1,0.115706334848231
"SIK3",0.00142751061209307,0.691794434115815,0.185,0,1,0.115706334848231
"CENPJ",0.00143424637664462,1.05650879689899,0.402,0.069,1,0.115706334848231
"KRT16P3",0.00144084802389145,0.670410566929383,0.685,0.379,1,0.115706334848231
"MT2A",0.00144248846250292,0.241654379898894,0.989,0.862,1,0.115706334848231
"PTN",0.00144354866051132,1.03913214242462,0.489,0.172,1,0.115706334848231
"USP39",0.00147394282005782,1.00543883120032,0.543,0.207,1,0.115706334848231
"MED7",0.00150365927844203,0.959633533671893,0.185,0,1,0.115706334848231
"PRELID3B",0.0015252567787053,0.477334423010555,0.859,0.586,1,0.115706334848231
"OAT",0.00154400508155764,0.370416181070893,0.946,0.724,1,0.115706334848231
"FILIP1L",0.00156684738682065,0.572687403114763,0.185,0,1,0.115706334848231
"LEKR1",0.00156684740908606,0.610499712324816,0.185,0,1,0.115706334848231
"CTD-2008A1.2",0.0015683597665195,0.652704346303229,0.261,0.034,1,0.115706334848231
"AAMP",0.00157708429836379,0.542402796066379,0.848,0.655,1,0.115706334848231
"PES1",0.00158279922745185,0.791965257607243,0.674,0.345,1,0.115706334848231
"CLIP3",0.00158626925894756,0.659474112435036,0.185,0,1,0.115706334848231
"STXBP5",0.00158941086900218,0.479839192518375,0.185,0,1,0.115706334848231
"AC004540.5",0.00158941103418465,1.07533124236974,0.185,0,1,0.115706334848231
"FDFT1",0.00172600635950624,0.645342685355549,0.772,0.448,1,0.12440240913122
"KNTC1",0.00173884557889162,0.692713601178892,0.717,0.379,1,0.12440240913122
"PCSK7",0.00175515084822573,0.996655039520255,0.37,0.172,1,0.124495699909618
"WDR33",0.00179582163678139,0.740628510285769,0.63,0.345,1,0.126301048844481
"SLC4A2",0.0018247305098864,0.887164866956545,0.402,0.172,1,0.127255785727288
"CENPW",0.00185456711095107,0.99914306055115,0.489,0.172,1,0.128258770448191
"NOP10",0.001900257996663,0.883644182620903,0.587,0.241,1,0.130332571192614
"EIF4E3",0.00196682618734137,-0.868198953515573,0.13,0.31,1,0.130554569909808
"TMEM201",0.00197427822940979,0.881286742264087,0.543,0.241,1,0.130554569909808
"CYTH2",0.00198488848753844,0.939348984245644,0.446,0.103,1,0.130554569909808
"UBE2F",0.00198570611364185,1.05921584357283,0.391,0.138,1,0.130554569909808
"PIK3R3",0.00199494473146598,1.00318058535502,0.38,0.138,1,0.130554569909808
"LYRM2",0.00202154531222452,0.884374223423991,0.402,0.069,1,0.130554569909808
"TUBA1C",0.00202332609443821,0.741230273600827,0.685,0.379,1,0.130554569909808
"RPL26",0.00202934564626645,-0.11187710526587,0.967,1,1,0.130554569909808
"B3GALNT2",0.00210947630002618,1.00460077059058,0.315,0.069,1,0.131562282959702
"CTD-2201G3.1",0.00215412665800603,-0.348742557942766,0,0.103,1,0.131562282959702
"CTD-2206N4.4",0.00215412668578319,-0.500396453301966,0,0.103,1,0.131562282959702
"FMO2",0.00215412697155587,-0.857424769800086,0,0.103,1,0.131562282959702
"MED15",0.00217533732999822,0.635163184880366,0.772,0.483,1,0.131562282959702
"MSH6",0.00218309103135252,0.687557793376428,0.837,0.552,1,0.131562282959702
"CCDC66",0.00220509333566733,0.942453930752702,0.478,0.172,1,0.131562282959702
"DCTN2",0.00221702627523388,0.727494412350621,0.696,0.414,1,0.131562282959702
"ZNF626",0.00225137422829544,0.218122987060863,0.174,0,1,0.131562282959702
"PRSS16",0.00225137427813171,0.862718935080372,0.174,0,1,0.131562282959702
"MCOLN1",0.00225799631357606,0.81933132010007,0.652,0.276,1,0.131562282959702
"C1orf95",0.00225965848417464,0.984439666433304,0.25,0.103,1,0.131562282959702
"CNN2",0.00226188798117306,0.308773478184976,0.978,0.793,1,0.131562282959702
"FABP5",0.0022669486038363,0.722699614456384,0.174,0,1,0.131562282959702
"CDC42BPG",0.00231460910279246,0.939841305851396,0.348,0.069,1,0.13231615244957
"POLR2L",0.0023202359869272,0.542688294350532,0.826,0.483,1,0.13231615244957
"SYPL1",0.00232776940084797,0.520222901829638,0.848,0.552,1,0.13231615244957
"C5orf24",0.00236110482791909,0.771178443416924,0.598,0.276,1,0.133122813437643
"RP11-219G10.1",0.00237404222060142,0.727341832628806,0.511,0.207,1,0.133122813437643
"RECQL4",0.00243954328641338,1.08119173723682,0.283,0.103,1,0.1348662196175
"ETFDH",0.0024482672661556,0.894452445170851,0.304,0.069,1,0.1348662196175
"MOB3A",0.00247346577125926,1.01241012921373,0.435,0.138,1,0.1348662196175
"FN3KRP",0.00248259774049643,1.08279985640053,0.424,0.138,1,0.1348662196175
"SORD",0.00248638770954061,0.903934240522354,0.348,0.069,1,0.1348662196175
"RP11-438L7.3",0.00252115499721247,0.583790434374092,0.62,0.276,1,0.135209640544585
"RP11-308D16.3",0.00254122949301988,0.651533148742883,0.511,0.31,1,0.135209640544585
"VIM",0.00257627367267056,0.119237404936133,1,0.966,1,0.135209640544585
"EWSR1",0.00257660770899214,0.452216746815613,0.891,0.759,1,0.135209640544585
"KLF10",0.00258727889506863,0.929250872202635,0.533,0.241,1,0.135209640544585
"PHF5A",0.00259047268906966,0.793595045062686,0.576,0.276,1,0.135209640544585
"AC007250.3",0.00261122277599384,0.390590777963941,0.902,0.69,1,0.135440861362331
"TRIM59",0.00266569808770044,0.915375731731459,0.348,0.069,1,0.13555536315924
"HMCES",0.00266963219145514,1.04728182867229,0.413,0.172,1,0.13555536315924
"MAK16",0.00267662024841134,0.955780748119552,0.413,0.138,1,0.13555536315924
"RP1-102E24.1",0.00267876606315404,-0.76895782029365,0.109,0.345,1,0.13555536315924
