"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"OCLN";1,96232204629121e-31;1,20048543617783;0,764;0,263;7,89579521766194e-27
"CREBZF";2,01431708824249e-31;1,23933769113426;0,699;0,225;8,10500766796131e-27
"HSF4";3,14062492460189e-31;1,14376912428079;0,423;0,067;1,26369325091206e-26
"FBLN1";4,19471903190337e-31;1,06466163363185;0,927;0,46;1,68782909686696e-26
"HLA-A";4,26202958993525e-31;-0,824271593186179;0,789;0,942;1,71491284610225e-26
"SLC44A2";4,33904883367879e-31;0,928822251662374;0,894;0,52;1,74590307920733e-26
"ALDH3A2";5,36135142926772e-31;1,22185921735601;0,756;0,284;2,15724697459445e-26
"MEG3";6,01124487861909e-31;-1,9933988186549;0,008;0,614;2,41874460180996e-26
"TMOD2";1,34259850688752e-30;1,19625828935908;0,463;0,095;5,40221361216332e-26
"EFNA5";2,07300625108408e-30;0,98870009494005;0,87;0,484;8,34115525248702e-26
"ABCA17P";3,28121605761667e-30;0,869028919281874;0,252;0,019;1,32026290510322e-25
"LPAR6";4,94522931530561e-30;-2,02715197075965;0,049;0,644;1,98981191959952e-25
"AC105402.1";5,28963143574567e-30;-1,90809121266215;0,016;0,617;2,12838900080098e-25
"GNG12";5,50664931427875e-30;1,38005205821654;0,61;0,189;2,21571048458634e-25
"CLEC4F";6,71840092314222e-30;1,28568991233798;0,398;0,064;2,70328297944474e-25
"WDR76";8,54674742857887e-30;1,29864042242664;0,35;0,049;3,43895476283728e-25
"SDC1";1,03441106758701e-29;1,00991845419424;0,821;0,437;4,16215981264984e-25
"SLC4A3";1,03661619963157e-29;1,26549226231925;0,528;0,125;4,17103260245755e-25
"PODXL2";1,04459062003271e-29;1,2632320684358;0,374;0,056;4,20311927782563e-25
"STMN1";1,0614411584996e-29;0,362315223586431;0,967;0,852;4,27092078945484e-25
"HELLS";1,06689449699845e-29;1,22683874736891;0,569;0,145;4,29286338757266e-25
"TRABD";1,31565118470162e-29;1,01368763908702;0,846;0,447;5,2937856718839e-25
"CDC42EP3";1,78258121734774e-29;0,727236664782378;0,943;0,671;7,17257204424209e-25
"RP11-889L3.3";2,46888800253632e-29;1,1373693431145;0,561;0,136;9,93406465580541e-25
"IQGAP3";2,58475758517561e-29;0,793321640236607;0,26;0,022;1,04002890954711e-24
"OSBPL3";3,66045099822064e-29;1,21319728180701;0,593;0,169;1,47285566815404e-24
"CXCR4";3,67304749956282e-29;1,3138723372048;0,699;0,245;1,47792412239909e-24
"RP11-624G17.1";7,04334171225643e-29;-0,867484971365035;0,463;0,878;2,83402940476062e-24
"RP1-131H7.2";7,39336315799e-29;0,435890621424437;0,203;0,01;2,97486753388044e-24
"KRT19";8,03788172634996e-29;-1,67092290061074;0,398;0,839;3,23420247023144e-24
"STMN3";9,36629928384906e-29;1,2487985920299;0,634;0,209;3,76871784284235e-24
"UCP2";1,30210863485693e-28;1,29536453367079;0,398;0,066;5,23929451407384e-24
"SLPI";1,42203241263571e-28;1,26113101384119;0,764;0,238;5,7218318187223e-24
"KLC3";1,58065807544648e-28;1,33902767916343;0,341;0,049;6,36009389817401e-24
"TMEM147";1,81975311040718e-28;1,0661799371165;0,829;0,375;7,32214059034537e-24
"PAX6";2,05097515627699e-28;0,757417811959546;0,187;0,008;8,25250873631171e-24
"RPL39";2,22316628221667e-28;-0,306266957189224;0,911;0,991;8,94535416975521e-24
"ITGB1";2,8912864695303e-28;0,572424273581645;0,959;0,812;1,16336693674491e-23
"CCDC109B";3,5361286409379e-28;1,36742193869941;0,317;0,044;1,42283208125418e-23
"ARHGEF28";6,02405674380219e-28;1,19510529924505;0,593;0,176;2,42389971200369e-23
"SKAP2";6,59105749816641e-28;1,09901973979879;0,325;0,044;2,65204380553722e-23
"CDK2";9,32725377019111e-28;1,27826694492026;0,61;0,187;3,7530070995118e-23
"ECT2";1,12859253796318e-27;1,19378817721672;0,398;0,073;4,54111779500243e-23
"GNB4";1,46906087434265e-27;1,13931123396332;0,724;0,263;5,91106024009251e-23
"ZNF541";1,5126489877672e-27;0,830271635550499;0,26;0,025;6,08644573207887e-23
"AHCY";1,57922133676395e-27;0,631323753993976;0,911;0,651;6,35431289273712e-23
"RPS4Y1";2,11459498835433e-27;-2,65185230120392;0,008;0,567;8,5084958546413e-23
"TSEN34";3,72203853903262e-27;1,25823309073243;0,626;0,206;1,49763664695055e-22
"VAV3";3,91553875784269e-27;1,15732478867696;0,382;0,066;1,57549532999317e-22
"ALDH1A3";4,11771466269407e-27;1,2677104165289;0,545;0,158;1,65684484882821e-22
"BST2";4,48706824579406e-27;1,35128294992873;0,52;0,112;1,80546165006015e-22
"GPT";8,68010800689687e-27;1,23173033181699;0,244;0,022;3,49261505873509e-22
"CTD-3193K9.7";1,08218854587223e-26;0,5978063458088;0,211;0,015;4,35440205202608e-22
"CLDN4";1,71378026085981e-26;0,786103218061036;0,943;0,605;6,89573763562161e-22
"CDC42EP1";1,85079965281289e-26;1,19201153882422;0,659;0,256;7,44706256302321e-22
"PRKCI";1,87142862335718e-26;1,1352672879822;0,602;0,188;7,53006735180227e-22
"GATS";2,29472607225616e-26;0,866057496517529;0,325;0,047;9,23328929693712e-22
"DPYSL2";3,02152924546165e-26;0,888220040677439;0,846;0,541;1,2157727224964e-21
"SDK2";3,07211302469509e-26;-1,69999769361821;0,008;0,555;1,23612611774656e-21
"COMTD1";4,57266031644972e-26;1,27697117272157;0,382;0,067;1,83990133152987e-21
"S100A1";8,03878368409574e-26;0,964315596320327;0,398;0,081;3,2345653909696e-21
"LSS";9,48380580625866e-26;1,18782878218122;0,65;0,245;3,8159989422643e-21
"PPFIBP2";1,30136143863621e-25;1,11867410224127;0,756;0,35;5,2362880206405e-21
"SLC43A3";1,381779693303e-25;1,03303356493404;0,789;0,368;5,55986695194329e-21
"ATP1A1";1,43145389612179e-25;0,631784121304048;0,943;0,719;5,75974104182526e-21
"CD44";1,56895008039473e-25;0,480478102456692;0,951;0,813;6,31298443848427e-21
"ABCG1";1,77987141106404e-25;-1,87170704499051;0,049;0,584;7,16166859669836e-21
"CYP2S1";1,89761649179503e-25;1,13339300849624;0,285;0,035;7,63543947803568e-21
"TGFB2";1,89799942282092e-25;1,25103918865447;0,569;0,186;7,63698027760455e-21
"OLFM1";2,05358940627031e-25;1,09451225210294;0,252;0,027;8,26302769400986e-21
"BRCA2";2,35032868923415e-25;0,960945355324966;0,39;0,076;9,45701754687146e-21
"RBM39";2,55116870176148e-25;0,301706078715321;0,976;0,947;1,02651375052777e-20
"PEG3";3,29600766188334e-25;-1,9383903574566;0,008;0,537;1,326214602912e-20
"PCOLCE";3,50833359336903e-25;1,13037373171793;0,325;0,051;1,4116481879639e-20
"IFT80";3,65415069171463e-25;1,1303714930974;0,488;0,134;1,47032061382521e-20
"NCAPG2";5,91931400988467e-25;1,06167485304569;0,447;0,101;2,3817543781573e-20
"DBNDD1";6,30416136994336e-25;1,21890618200624;0,374;0,07;2,53660541042411e-20
"ASF1B";8,38219363124016e-25;1,25257231008553;0,268;0,034;3,3727432514021e-20
"MAF";9,17479668005216e-25;0,942854485282129;0,317;0,05;3,69166294015259e-20
"HMG20B";9,29989309922422e-25;0,825418625706276;0,862;0,523;3,74199798633485e-20
"H3F3C";9,774163926659e-25;-0,441647268547663;0,846;0,964;3,93283033916978e-20
"MANBAL";1,20279209742287e-24;-2,0254364363568;0,033;0,554;4,83967456240042e-20
"C3orf52";1,36881889437803e-24;0,911923787773242;0,293;0,039;5,50771658530888e-20
"RRM1";1,60013965650743e-24;1,14285237626976;0,683;0,275;6,43848193588894e-20
"DAPK3";1,64486379431829e-24;1,16450273687636;0,675;0,267;6,61843844919852e-20
"HSPA1B";2,06969235757107e-24;0,862349513126093;0,854;0,564;8,32782113915873e-20
"RP11-66B24.1";2,15881034165106e-24;1,05023403299682;0,488;0,125;8,68640517170138e-20
"PCNA";2,72573994183388e-24;1,03100098981643;0,748;0,358;1,0967559803957e-19
"SEMA5A";3,4316034899512e-24;1,05567387892865;0,634;0,217;1,38077429625166e-19
"ESYT3";3,62050938558032e-24;1,08605105587879;0,317;0,051;1,45678436147595e-19
"CLIC4";4,50458548318958e-24;0,837127431201762;0,862;0,548;1,81251006087099e-19
"UBA2";5,66713399081536e-24;1,09356749708398;0,65;0,245;2,28028470388437e-19
"SFRP1";7,38059467449962e-24;0,881318979169325;0,854;0,494;2,96972987917841e-19
"AZGP1";7,99060257251458e-24;0,968845339388698;0,951;0,464;3,21517875710269e-19
"GINS1";8,54307581642734e-24;0,900775114039618;0,26;0,031;3,43747741625587e-19
"HDAC10";9,51268260910067e-24;0,880094788612001;0,358;0,067;3,82761810142384e-19
"NAP1L4";1,07549804520292e-23;0,579913828096688;0,959;0,725;4,32748148448299e-19
"AP1M2";2,33198776525449e-23;1,08614664833766;0,699;0,29;9,3832191710545e-19
"ZNF600";2,39871510923732e-23;0,832182099945665;0,756;0,338;9,65170998503822e-19
"MGST1";3,02122221362223e-23;0,665423598918772;0,919;0,612;1,21564918209517e-18
"RSRP1";3,5160743529662e-23;0,875506371447087;0,797;0,47;1,41476283740301e-18
"MYBL2";3,6189424959749e-23;0,869115426970667;0,187;0,013;1,45615389210542e-18
"ANKRD36";4,06359085379909e-23;0,7102645726211;0,927;0,739;1,63506705184314e-18
"KIAA0895";4,13405087086965e-23;1,09020102180287;0,48;0,13;1,66341804891182e-18
"DSC2";4,41981177866704e-23;0,840691471276456;0,829;0,565;1,77839966538226e-18
"RP1-93H18.3";4,78295406623945e-23;1,01483488931048;0,561;0,186;1,92451722763277e-18
"CCDC14";5,05312886115409e-23;0,857160054273746;0,862;0,581;2,03322745986257e-18
"TBC1D8";5,05524301586167e-23;1,12129184622583;0,626;0,23;2,03407813229226e-18
"CEBPG";6,71014801810376e-23;1,06276813511393;0,699;0,286;2,69996225804441e-18
"MCM3";8,05382132181697e-23;1,06036980916104;0,715;0,336;3,24061608525949e-18
"MCU";8,8059296995259e-23;1,14697782263805;0,602;0,207;3,54324193319823e-18
"BAIAP2L1";9,31347393284322e-23;1,05578328579185;0,715;0,328;3,74746250635812e-18
"ABCB6";1,0951061151616e-22;1,06775278144282;0,537;0,185;4,40637847557574e-18
"PPL";1,11253021213345e-22;1,03868221270054;0,724;0,345;4,47648781456136e-18
"MSH6";1,30297113572219e-22;0,926294533507172;0,772;0,322;5,24276495880539e-18
"AC074389.9";1,40930337686788e-22;0,57286055628982;0,106;0;5,6706139975033e-18
"S100A6";1,53426291846869e-22;0,791209761715867;0,943;0,549;6,17341370504248e-18
"CBY1";1,56865762010807e-22;0,971605130959376;0,764;0,347;6,31180766602883e-18
"SC22CB-1E7.1";1,58186154128109e-22;-0,267779542957222;0,951;0,989;6,3649362836527e-18
"ENO2";1,7298581584275e-22;1,21101226010907;0,39;0,085;6,96043027206473e-18
"NRP2";1,74566286276183e-22;0,743198935045083;0,894;0,592;7,02402366089477e-18
